Data_Quality_Notes,type,title,director,cast,release_year,rating,Duration_Value,Duration_Unit,listed_in,description,Data_Quality_Notes
s11,Movie,Forest Fairies,Justin G. Dyck,"Emily Wilder, Adrian Cowan, Gary Mckenzie, Jeremy Ninaber, Brenda Somers, Brian Carleton, Lora Burke, Winny Clarke, Mercedes Morris, Rebecca Perry, Emily Agard, Graham Gauthier",2016,Not Rated,88,Min,"Adventure, Kids",Amanda Stumbles Upon A Hidden Village Of Fairies In The Forest. They Help Her Thwart A Scheming Land Developer'S Plan To Trick Her Mother Into Selling The Family Inn.,
s12,Movie,Take Care,Liz Tuccillo,"Leslie Bibb, Kevin Curtis, Nadia Dajani",2014,Not Rated,93,Min,Comedy,"When A Car Crash Leaves Frannie Immobilized, She Is Brushed Off By Everyone She Can Count On. With Nowhere Else To Turn, Frannie Reluctantly Calls Her Ex, Devon, For Help. It Isn'T Long Before Old Wounds Emerge And Are Made Worse When Devon'S Crazy New Girlfriend Shows Up.",
s13,Movie,The Night Eats The World,Dominique Rocher,"Anders Danielsen Lie, Golshifteh Farahani, Denis Lavant, Sigrid Bouaziz, David Kammenos",2018,Not Rated,94,Min,"Horror, Suspense","After Waking Up In An Apartment The Night After A Raging Party, Sam Comes Face To Face With His New Reality, An Army Of Zombies Have Invaded The Streets Of Paris And He Is The Lone Survivor. Petrified With Fear, He Barricades Himself Inside The Building To Survive. He Wonders How Long Can He Last In Silence And Solitude, And The Answer Comes When He Learns That He'S Not All Alone After All.",
s14,Movie,Resilencia,Jep Barcelona,"Rafinha Alcantara, Marc-André Ter Stegen, Sergi Roberto, Dr. Ramón Cugat, Mazinho, Xavi Arruebo, Celia Ferreira Da Silva, Ángel Lapuebla, Javier Enríquez, Thiago Alcantara, Valeria Alcantara",2020,Not Rated,46,Min,"Documentary, Sports","The Documentary Follows The Midfielder’S Everyday Life For Six Months. It’S A Sincere Portrayal By Rafinha Himself, Who Opened His Home For The Cameras To Film Every Moment, Even Allowing Them Into The Operating Room.",
s15,Movie,Elon Musk: The Real Life Iron Man,Sonia Anderson,"Elon Musk, Per Wimmer, Julie Anderson-Ankenbrandt, Cary Cooper",2018,Not Rated,74,Min,Documentary,"Discover The Meteoric Rise Of Elon Musk, The Man Who Is Transforming The Way We Think About Travel Technology Through Electric Cars, The Hyperloop, And Revolutionary Ideas On How We Live Through Artificial Intelligence And Colonizing Mars.",
s16,Movie,Summer '03,Becca Gleason,"Joey King, Jack Kilmer, Andrea Savage, Paul Scheer, June Squibb, Erin Darke, Stephen Ruffin, Kelly Lamor Wilson, Logan Medina, Travis James, Bill Eudaly, Elise Duquette",2019,Not Rated,96,Min,"Comedy, Drama","Summer '03 Is The Hilarious Story Of 16-Year-Old Jamie And Her Family, Who Are Shocked After Her Calculating Grandmother Unveils An Array Of Family Secrets On Her Deathbed, One Involving Religion, The Other Of A More Personal Nature. Jamie Is Left To Navigate Her Own Love Life And Her Closest Friendships In The Midst Of This Family Crisis, And One Of The Most Memorable Summers Of Her Life.",
s17,Movie,Zoombies,Glenn Miller,"Marcus Anderson, Kaiwi Lyman, Andrew Asper",2016,13+,87,Min,"Horror, Science Fiction","When A Strange Virus Quickly Spreads Through A Safari Park And Turns All The Zoo Animals Undead, Those Left In The Park Must Stop The Creatures Before They Escape And Zombify The Whole City.",
s18,TV Show,Zoo Babies,Not Mentioned,Narrator - Gillian Barlett,2008,All,1,Season,"Kids, Special Interest","A Heart Warming And Inspiring Series That Welcomes The Arrival Of New Members Of The Animal Kingdom In Zoo'S Around The World, As Well As Showcasing Endangered Species Being Born In Captivity, 'Zoo Babies' Is Perfect Family Viewing Packaged With Fun, Colourful Graphics Designed To Capture The Attention Of Little Ones.",
s19,TV Show,Zoë Coombs Marr: Bossy Bottom,Not Mentioned,Zoë Coombs Marr,2020,18+,1,Season,"Comedy, Talk Show And Variety","Zoë Coombs Marr Has Been On Hiatus. Sort Of. For Six Years, She Won Stacks Of Awards And Acclaim As A Hack Comic With A Neckbeard Called Dave. Whatever. She’S Scraped Off The Neckbeard And Is Baaaack… As Herself. There Is No Comedian Quite Like Zoë. Bossy Bottom Is A Joyously Silly Return To Very Serious Stand Up From The Micf Most Outstanding Show Winner And Edinburgh Best Show Nominee.",
s20,Movie,Zoe,Drake Doremus,"Ewan Mcgregor, Léa Seydoux, Theo James, Miranda Otto, Rashida Jones, Christina Aguilera, Matthew Gray Gubler, Anthony Shim",2018,R,104,Min,Science Fiction,"Zoe Tells A Tale Of Forbidden Love Between An Engineer And A Robot. Zoe (Léa Seydoux) And Cole (Ewan Mcgregor) Are Colleagues And Veiled Lovers At A Lab Working To Perfect Romantic Relationships. But Their Relationship Is Threatened When Zoe Discovers The Truth About Their Relationship, Sending Them Into A Spiral Of Confusion, Betrayal And The Most Intense Of Human Emotions, Love.",
s21,TV Show,Zoboomafoo,Not Mentioned,Not Mentioned,2001,Tv-Y,1,Season,Kids,Chris And Martin Kratt Bring Their Enthusiasm For Animals To The Pre-School Set.,
s22,TV Show,Zo Zo Zombie: Mini-Series,Not Mentioned,"Alex Cazares, Ben Diskin, Cristina Vee, Erika Ishii",2020,Tv-Y7,1,Season,"Action, Anime, Comedy","Zo Zo Zombie Is Our Undead Hero Who, With His Best [Human] Friend Isamu, Is Just Trying To Do Some Good In This World But Somehow Always Ends Up In Pieces. Literally.",
s23,Movie,Zis Boom Bah,William Nigh,"Grace Hayes, Mary Healy",1941,Nr,62,Min,"Arts, Entertainment, And Culture, Comedy, Drama","""Hey, Kids, Let'S Get Together And Put On A Show!"" That'S The Idea Behind This Raucous Spoof About A Vaudeville Performer Who Goes To College To Spy On Her Bratty Son.",
s24,TV Show,ZeroZeroZero,,"Andrea Riseborough, Harold Torres, Claudia Pineda, Tcheky Karyo, Giuseppe De Domenico, Gabriel Byrne, Dane Dehaan, Adriano Chiaramida",2020,18+,1,Season,Tv Shows,"Zerozerozero Series Follows The Journey Of A Cocaine Shipment, From The Moment A Powerful Cartel Of Italian Criminals Decides To Buy It Until The Cargo Is Delivered And Paid For, Passing Through Its Packaging In Mexico And Shipment Across The Atlantic Ocean.",
s25,Movie,Zandalee,Sam Pillsbury,"Nicolas Cage, Judge Reinhold, Erika Anderson, Joe Pantoliano, Viveca Lindfors, Aaron Neville, Steve Buscemi, Ian Abercrombie, Marisa Tomei, Jo-El Sonnier, Newell Alexander, Blaise Delacroix, Eliott Keener, Richard Greenberg, John Cutler, Thomas Iain",1991,R,94,Min,Drama,"Zandalee Has Grown Bored With Her Poet-Turned-Businessman Husband And Has An Affair With His Best Friend. When Their Passions Grow Wild, It Proves To Be Too Hot For Any Of Them To Handle.",
s26,Movie,Zambezi: Force of Life,Dr. Rudolf Lammers,Not Mentioned,2005,All,50,Min,Documentary,"The Zambezi River Is The Fourth-Longest River In Africa, Flowing From The Heart Of Zambia All The Way To The Indian Ocean. Along The Way, We Discover The Breathtaking Wildlife That Call The River Home, Including Hippos And Crocodiles. As We Follow The Course Of This Infamous River, Even More Diverse Wildlife Is Revealed Along Its Shores. With Danger At Every Turn, This Is Zambezi!",
s27,TV Show,Zahara: The Return,Not Mentioned,"Natasha Heschélle, Curtis Morgan, Hannah Scott, Dennis Nimoh, Christine Nguyen",2020,16+,1,Season,Tv Shows,"The Story Explores The History Of Slavery And Racism, And The Tensions Between A White Supernatural World And A Supernatural World Of Colour As An Ancient Black Druid Rekindles Her Forbidden Love With The Son Of Her Former Master.",
s28,TV Show,Z: The Beginning of Everything,,"Christina Ricci  , David Hoflin",2017,18+,1,Season,"Comedy, Drama","""Z: The Beginning Of Everything"" Tells The Story Of Zelda Sayre Fitzgerald, The Brilliant, Beautiful Southern Belle Who Became The Original Flapper And Icon Of The Wild, Flamboyant Jazz Age.",
s29,TV Show,Yu-Gi-Oh! Zexal,Not Mentioned,"Eli Jay, Marc Thompson, Sean Schemmel, Eileen Stevens",2015,Tv-Y7,3,Seasons,"Animation, Anime, Fantasy","It'S Time To Feel The Flow As Yu-Gi-Oh! Zexal Blasts Off Into Awesome New Adventures! Seven Legendary Number Cards Are Hidden Throughout The Cosmos, Each Holding A Key To Unlocking The Ultimate Power Of The Universe. Yuma And Astral Must Find Them Before The Evil Barians Do For Whoever Wields This Force Can Use It To Save The Galaxy Or Destroy It!",
s30,TV Show,Yu-Gi-Oh! ARC-V,Not Mentioned,"Michael Liscio Jr., Emily Bauer",2018,Tv-Y7,3,Seasons,"Action, Adventure, Animation",Get Set To Swing Into Action As Yu-Gi-Oh! Arc-V Takes Its Final Bow!,
s31,TV Show,Yu-Gi-Oh! 5D's,Not Mentioned,"Gregory Abbey, Bella Hudson, Ed Paul",2011,Tv-Y7,2,Seasons,"Anime, Kids","With The Defeat Of Director Goodwin And The Dark Signers, New Domino City'S Barriers Have Been Torn Down. City And Satellite Are Now One - United In The Hope Of Building A Brighter Tomorrow. Yet In This Time Of Renaissance And Rebuilding, A New Enemy Emerges, And Yusei And His Friends Must Rev It Up In Order To Save The World – One Duel At A Time.",
s32,TV Show,Your Bleeped Up Brain,Not Mentioned,"Dobrokhotova Ekaterina, Mike New",2013,Tv-Pg,1,Season,Tv Shows,"See What An Alien Abduction Reveals About Your Memory, Learn How A Seance In The White House Holds The Key To Superstition, Uncover A Conspiracy Theory About The Moon Landing.",
s33,Movie,Young Lovers,Ida Lupino,"Sally Forrest, Keefe Brasselle, Hugh O'Brian, Eve Miller, Lawrence Dobkin, Rita Lupino",1949,18+,86,Min,Drama,"Talented And Beautiful Carol Williams (Forrest) Is Devastated When She Learns She Has Contracted Polio And Becomes Crippled By The Disease. The Depressed And Embittered Young Woman Breaks Her Engagement To Her Dance Partner And Choreographer, Guy Richards (Brasselle), But He Is Determined To Stay By Her Side. Preferring To Be Alone In Her Misery, Carol Slowly Learns To Allow Others To Help Her And Share In Her Grief. She Is Finally Able To Bring Herself To Participate In And Go On With Her New Life.",
s34,Movie,Young Love (at the Sun Factory),Not Mentioned,Not Mentioned,2007,Nr,36,Min,Music Videos And Concerts,"Young Love Celebrates The Release Of ""Too Young To Fight It"" With A Midnight Show Inside An Old Factory Building.",
s35,Movie,Young Love (at Bowery Ballroom),Not Mentioned,Not Mentioned,2007,Nr,37,Min,Music Videos And Concerts,"Young Love Returns To Baeble'S Silver Screen With A Bigger Stage, Expanded Setlist, Nicer Clothes, And The Same Blend Of Rock, Dance, And Pop.",
s36,TV Show,Young Lions,Not Mentioned,"Alex Dimitriades, Alexandra Davies, Tom Long, Anna Lise Phillips, Katherine Slattery, Penny Cook, Amie Mckenna, Socratis Otto, Anna Torv, John Waters, Maya Stange, Jackson Purtan-Smith, George Anakotta",2002,16+,1,Season,"Drama, Suspense",Australian Police Show About Two Male And Two Female Detective Senior Constables Who Solve Crimes And Deal With Personal Issues.,
s37,Movie,You're Not You,George C. Wolfe,"Hilary Swank, Emmy Rossum, Josh Duhamel",2015,R,103,Min,Drama,A Drama Centered On A Classical Pianist Who Has Been Diagnosed With Als And The Brash College Student Who Becomes Her Caregiver.,
s38,Movie,"You, Me and Him",Daisy Aitkens,"David Tennant, Lucy Punch, Faye Marsay, Gemma Jones",2017,Not Rated,98,Min,"Comedy, Drama","In You, Me And Him We Meet Lesbian Couple Olivia And Alex (Lucy Punch, Faye Marsay) Who, Despite Their Age Difference, Are Very Much In Love. But As The Question Of Pregnancy Rears Its Head And Their Neighbor John (David Tennant) Befriends Them, They Both Start Making Some Truly Disastrous Decisions.",
s39,Movie,Yoga with Sound Meditations,Mark Knight,Ann-Marie Newland,2016,All,9,Min,"Fitness, Special Interest","This Session Will Establish How To Prepare For The Practice Of Both Mindfulness And Meditation. We Learn To Sit With A Correctly Aligned Spine, To Observe, Regulate, Slow Down And Control The Breath. These In-Turn Will Act Upon The Mind And Begin To Still Its Chatter And Noise. Performed By Anne-Marie Newland Founder Of Sun Power Yoga Teacher Training School And Author Of ""Sun Power Yoga Shala!""",
s40,Movie,Yoga to Harness Your Chakra Energy,Mark Knight,Caroline Shola Arewa,2014,All,18,Min,"Faith And Spirituality, Special Interest","Sharecare Windows Presents Caroline Shola Arewa Who Describes The Positions, Meaning And Qualities Of Energy, As Well As The Seven Main Chakras, Gently Leading You Into A Guided Chakra Meditation. Chakras Are At The Heart Of The Human Energy System And Understanding The Chakra System Can Positively Affect Your Physical Health, Emotional Stability And Spiritual Awareness.",
s41,Movie,Yoga to Ease Flight Anxiety,Mark Knight,Anne-Marie Newland,2016,All,14,Min,"Fitness, Special Interest",Reduce The Stress Of Flying By Using These Simple And Affective Yoga-Based Moves To Keep The Blood Flowing Around The Body. Help Prevent Deep Vein Thrombosis And Allow The Heart And The Brain To Get As Much Oxygen On Board As Possible. Drink Plenty Of Water And Get Up And Walk-It'S Really Simple And Effective.,
s42,Movie,Yoga to Break Any Habit,Mark Knight,Dr Daniel J Nightingale,2014,All,20,Min,Special Interest,"This Session With Dr Daniel J Nightingale Is Helpful For Anyone Whose Quality Of Life Is Diminished By Habitual And Addictive Behavior. Discover Techniques That Can Help You Break Your Habit, Allowing You To Become In Control Of It, Rather Than It Being In Control Of You. This Session Will Prove To Be Beneficial To You Any Time You Wish To Listen To It-Day Or Night.",
s43,TV Show,"Yoga Therapy For Back Pain, Neck Pain & Stress Relief - Lindsey Samper",Not Mentioned,Lindsey Samper,2018,All,1,Season,Fitness,Lindsey Teaches You How To Relieve Pain & Tension Throughout The Body. This Series Includes Yoga Flow Classes And Videos That Simply Teach You The Stretches. These Gentle Classes Are Perfect Even If You'Ve Never Done Yoga.,
s44,Movie,Yoga Savasana Relaxation,Mark Knight,Anne-Marie Newland,2014,All,19,Min,"Fitness, Special Interest",Relax And Reduce Your Stress While You Lay Down In A Comfortable Position To Listen To This Session. Yoga Relaxation Takes The Whole Body Into A Deep State Of Conscious Relaxation. During A Sleep Or Dream State The Conscious Mind Is Switched Off And We Have Dreams Which Can Result In Not Sleeping Well And Then You Often Wake Up Feeling Exhausted.,
s45,Movie,Yoga for Relaxation Anywhere,Mark Knight,Anne-Marie Newland,2014,All,18,Min,"Fitness, Special Interest","Yoga Relaxation Takes The Whole Body Into A Deep State Of Conscious Relaxation. This Means The Mind Has Been Afforded The Tools Needed To Switch Off Its Subconscious. During A Sleep Or Dream State, The Conscious Mind Is Turned In The Off Position And As A Result We Have Dreams Which May Lead To You Not Sleeping Well, Waking Up Often And Feeling Exhausted.",
s46,Movie,Yoga for Relaxation and Stress Relief Anywhere,Mark Knight,Anne-Marie Newland,2014,All,20,Min,"Fitness, Special Interest","This Session Was Designed To Help You Relax And Reduce Your Level Of Stress With A Daily Dose Of Relaxation For The Mind And The Body. Lower Your Anxiety And Increase Your Coping Skills Through The Use Of Breathing That Regulates The Heart Rhythm. In These Stress Relief Sessions, The Medical Profession Has Evidence That The Heart Rate Can Actually Drop And Thus Inducing Calm.",
s47,Movie,Yoga for Relaxation and Stress Relief,Mark Knight,Anne-Marie Newland,2014,All,20,Min,Special Interest,"Relax And Reduce Your Stress While You Lay Down In A Comfortable Position To Listen To This Session. It Is A Scientific Fact That An Overload Of Stress At Home Or Work Will Eventually Affect The Body, The Mind And Its Health. A Daily Dose Of Relaxation For The Mind And The Body Will Help Stress Levels To Lower By Using The Breath To Regulate The Heartbeat.",
s48,Movie,Yoga for Mindfulness and Meditation,Mark Knight,Anne-Marie Newland,2016,All,22,Min,"Fitness, Special Interest","We Take You Through Buddhist Mindful Philosophy, Yoga Mantra Meditation And A Guided Meditation Session For Use In Your Everyday Life. Focusing On Anything In Your Environment That You Find Soothing And Calming Helps You Relax And Our Session Gives You The Tools To Take Your Practice To New Levels. Guided By Anne-Marie Newland The Founder Of Sun Power Yoga And Author Of Sun Power Yoga Shala.",
s49,Movie,Yoga for Men's Health,Mark Knight,Anne-Marie Newland,2016,All,60,Min,"Fitness, Special Interest","This Session Helps Create Confidence With Simple Technical Rules That Help Develop Your Physical And Mental Ability. It Is Ideal For Those Who Have Never Tried Yoga Before As Well As For The More Advanced. The Focus Is On Areas That Are Problematic For Men, Tight Hips, Thighs, Groins, Chest And Back And Increasing Oxygen To The Prostate Gland. Guided By Anne-Marie Newland Founder Of Sun Power Yoga",
s50,Movie,Yoga for Breath Awareness,Mark Knight,Anne-Marie Newland,2016,All,6,Min,"Fitness, Special Interest","This Breathing Practice Will Reduce Stress, Calm The Body And Focus The Mind, While Also Increasing Energy. It Is Easy To Begin This Awareness By Implementing Five Simple Steps. This Is Perfect For Short Everyday Relaxation Before Your Exercise Practice. Classically Trained In The Art Of Yoga In India And Canada, Anne-Marie Newland Presents Her Own Dynamic Style Of Yoga Known As Sun-Power Yoga.",
s51,Movie,Yoga For Beginners,Mark Knight,Anne-Marie Newland,2016,All,54,Min,"Fitness, Special Interest","This Session Is About The Key To Yoga - Synchronized Movement And Breathing. Enjoying Your Experience Is Very Important-Don'T Push Yourself To Hard! This Session Is Suitable For Beginners Of All Levels Of Fitness And Works Every Part Of Your Body, Offering Variations For All Movements. Guided By Anne-Marie Newland Of Sun Power Yoga And Author Of Sun Power Yoga Shala.",
s52,Movie,Yoga for Abdominal Breathing,Mark Knight,Anne-Marie Newland,2019,All,5,Min,Special Interest,"This Breathing Practice Will Reduce Stress, Calm The Body And Focus The Mind, While Also Increasing Energy. Practice This For At Least 5 Minutes. If You Did This Each Day You Would Notice Stress Levels Dropping, Sleep Improve And Your Ability To Focus As Well As Feeling A Lot Calmer!. Accompanying Video Iao Valley On Maui.",
s53,Movie,Yellowneck,R. John Hugh,"Lin Mccarthy, Stephen Courtleigh, Berry Kroeger, Harold Gordon, Bill Mason",1955,18+,84,Min,"Action, Military And War, Western","During The U.S. Civil War, Five Deserters (Yellownecks) From The Confederate Army Decide To Embark On A Dangerous Mission Through The Florida Everglades To Escape To Cuba. They Have To Survive Snakes, A Florida Panther, Quicksand, And A Hurricane In The Swamps, Along With Local Angry Indians. Only One Of The Men Will Survive To Make It To The Florida Coast, But Which One? The Hurricane Scenes Involve Footage Form A Real Hurricane That Hit Florida During The Shooting Of The Film.",
s54,TV Show,Yearly Departed,Not Mentioned,"Phoebe Robinson, Rachel Brosnahan, Tiffany Haddish, Patti Harrison, Natasha Leggero, Natasha Rothwell, Sarah Silverman, Ziwe, Christina Aguilera, Sterling K Brown",2020,16+,1,Season,"Arts, Entertainment, And Culture, Comedy, Talk Show And Variety","Goodbye And Good Riddance, 2020. In This Hilarious, Absurd, Life-Affirming Comedy Special, Seven Outspoken Female Comedians Lay To Rest The Year That Never Seemed To End. Hosted By Phoebe Robinson (2 Dope Queens), A Lineup Of Some Of The World'S Funniest Women Bid Farewell To 2020'S Biggest Conceptual Casualties, From Tv Cops To Casual Sex, Giving The Year A Cathartic Sendoff.",
s55,Movie,Yatra (Telugu),Mahi V Raghav,"Mammootty, Suhasini Maniratnam",2019,All,126,Min,"Drama, International",An Indian Politician Takes Up A Decision To Go On A 900-Mile Walking Tour As A Part Of His Election Campaign. Yatra Is An Emotional Tribute To The Former Chief Minister Of Andhra Pradesh Y. S. Rajasekhara Reddy.,
s56,Movie,Yatra (Malayalam),Mahi V Raghav,"Mammootty, Suhasini Maniratnam",2019,All,125,Min,"Drama, International",An Indian Politician Takes Up A Decision To Go On A 900-Mile Walking Tour As A Part Of His Election Campaign. Yatra Is An Emotional Tribute To The Former Chief Minister Of Andhra Pradesh Y. S. Rajasekhara Reddy.,
s57,TV Show,Yancy Derringer,Not Mentioned,"Jock Mahoney, X Brands, Kevin Hagen, Framces Bergen, Charlene James, Joan Taylor, Charles Bronson, Margaret Hayes, Kelly Thordsen, Particia Blair",1959,13+,1,Season,"Action, Western","Yancy Derringer, An Ex-Confederate Soldier Turned Gambler, Was A Suave Lady'S Man In New Orleans, Louisiana. In Reality, He Was Working For John Colton, The Civil Administrator Of The City. Yancy'S Job Was To Prevent Crime And If Necessary, Arrest The Culprits. His Constant Companion Was Pahoo-Ka-Ta-Wah A Native American Who Watches Yancy'S Back.",
s58,TV Show,Xploration Earth 2050,Not Mentioned,Chuck Pell,2017,All,2,Seasons,"Documentary, Science Fiction","What Will The World Look Like In 2050? Where Will Advancements In Science, Technology, Engineering, And Math Lead Us? Host Chuck Pell Takes Viewers On A Mind Bending Journey In Search Of These Answers.",
s59,TV Show,Xiaolin Chronicles,Not Mentioned,"Tara Strong, Jennifer Hale, Eric Bauza, David Kaye, Michael Donovan, Cree Summer",2015,7+,1,Season,"Adventure, Animation, Kids","Newcomer Ping Pong Joins The Legendary Xiaolin Monks: Omi, Kimiko, Raimundo, And Clay For Fantastical New Adventures! Leading The Dark Forces Is Heylin Dragon Chase, Who Vows To Revenge Against Xiaolin. Throwing A Monkey'S Wrench Into The Mix Is Supervillain Wannabe Jack Spicer. Under The Tutelage Of An Evil Witch, Jack And His Robot Army Are Gunning For The Shen Gong Wu For World Domination.",
s60,Movie,Xchange,Allan Moyle,"Stephen Baldwin, Pascale Bussières, Kim Coates, Kyle Maclachlan, Tom Rack",2001,R,109,Min,"Fantasy, Science Fiction, Suspense",A Man Learns The Danger Of A New Technology That Allows People To Transport Their Minds Into A Waiting Body At Their Chosen Destination When His Body Is Taken Over By A Terrorist.,
s61,Movie,X-Ray,Boaz Davidson,"Barbi Benton, Chip Lucia",1983,R,89,Min,Suspense,"A Psychotic Killer Keeps A Young Girl Trapped Inside A Hospital, Having Fixed Her X-Rays To Make It Look Like She Has A Terminal Illness, And Brutally Murders Everyone She Comes In Contact With.",
s62,TV Show,WWII in HD,Not Mentioned,"Gary Sinise, Charles Scheffel",2009,Tv-14,1,Season,Action,"The Only People To See The War Like This Were The Ones Who Fought It. Until Now...70+ Years In The Making. The First Documentary To Show World War Ii From The Perspective Of Both Sides In Full, Immersive Hd Color, Wwii In Hd Uses The Diaries Of Soldiers Who Fought In The War'S Biggest Battles To Create A Personal, Introspective And Detailed Look At Life On And Off The Front Lines.",
s63,Movie,Wrangler: Anatomy of an Icon,Jeffrey Schwarz,"Jack Wrangler, Margaret Whiting, Marc Shaiman, Bruce Vilanch, Christine Ebersole, Michael Musto, Chi Chi La Rue, Sharon Mitchell, Jamie Gillis, Candida Royalle, Samantha Fox, Gloria Leonard",2008,18+,85,Min,"Documentary, Lgbtq","From The Dawn Of The Sexual Revolution Comes The Outrageous And True Story Of 1970S Gay Porn Icon Jack Wrangler. Jack Rose To Become A Major Brand Name In Adult Entertainment, As Well As A Hero To The Newly Liberated Gay Population, Only To Cross Over To Straight Movies And Fall In Love With Famous Vocalist Margaret Whiting.",
s64,TV Show,WPC 56,Not Mentioned,"Wpc Annie Taylor, Charles De'Ath, Olly Rix, James Barriscale, Rachel Leskovac, Liam Jeavons, Mark Healy",2015,13+,3,Seasons,"Drama, Romance, Suspense","The Third Series Of Wpc 56 Follows Wpc Annie Taylor, One Of The First Female Police Constables To Serve In England'S West Midlands In 1956.",
